dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,results_min_arithmetic_mean_rank,results_min_inverse_harmonic_mean_rank,training_gpu_power,training_duration,prediction_gpu_power,prediction_duration,directed,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,eccentricity_deciles,centralization
FB15k237,0,TransE,degree,-0.1,0.5961311281748376,0.49542232722976964,0.4105631029730262,0.21011353941064514,0.34126269817352295,120.73551940917969,0.6115010466691294,0.5229651520748676,0.4304888560522103,0.1727004063538973,146.60568237304688,0.32873669266700745,118.71369475055006,5436.463117599487,67.03341316680205,0.08681869506835938,True,13051,244143,0.0014334745124564374,15,0.01616877433416079,1,1.0,1.0,3,0,0,21,37.41368477511302,6824,"[2.0, 8.0, 11.0, 14.0, 18.0, 24.0, 29.0, 35.0, 45.0, 64.0, 6824.0]",18.70684238755651,"[0.0, 2.0, 3.0, 5.0, 6.0, 9.0, 11.0, 15.0, 20.0, 30.0, 5662.0]",18.70684238755651,"[0.0, 3.0, 6.0, 8.0, 10.0, 14.0, 17.0, 20.0, 25.0, 37.0, 1162.0]",0,3.9544214858982674,-0.12558708252473072,7.44326105279289,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.026517689298609936
FB15k237,0,TransE,degree,-0.15,0.5976795022700522,0.4958130149655288,0.41074491340171515,0.21062720699512358,0.3419489860534668,115.23819732666016,0.6115626154414481,0.5220416204900874,0.42938061815047407,0.1751631572466445,144.99549865722656,0.32922133803367615,172.85853052555447,5374.100792646408,94.69162696301845,0.09849357604980469,True,12092,238628,0.0016321536540644626,15,0.016883228501833887,1,1.0,1.0,3,0,0,21,39.468739662586835,6698,"[3.0, 9.0, 12.0, 16.0, 20.0, 25.0, 31.0, 37.0, 46.0, 66.0, 6698.0]",19.734369831293417,"[0.0, 2.0, 4.0, 5.0, 7.0, 9.0, 12.0, 16.0, 21.0, 31.0, 5610.0]",19.734369831293417,"[0.0, 4.0, 7.0, 9.0, 12.0, 15.0, 17.0, 21.0, 26.0, 38.0, 1088.0]",0,3.885548365545463,-0.12604795448993394,7.43367515712868,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.02643697881517018
FB15k237,0,TransE,degree,-0.2,0.5994151046654809,0.498495006156793,0.40865713503899304,0.20905732658366397,0.34136471152305603,112.03221893310547,0.600233961334811,0.514037680088659,0.4219923654722325,0.17171530599679843,242.35035705566406,0.3240448534488678,169.37066119817993,5269.601066827774,105.09230084319465,0.14943981170654297,True,11572,234895,0.00175426199143878,15,0.017393691480231045,1,1.0,1.0,3,0,0,21,40.59713100587625,6566,"[3.0, 10.0, 13.0, 17.0, 22.0, 26.0, 31.0, 38.0, 47.0, 67.0, 6566.0]",20.298565502938125,"[0.0, 2.0, 4.0, 6.0, 8.0, 10.0, 13.0, 16.0, 21.0, 31.0, 5558.0]",20.298565502938125,"[0.0, 5.0, 7.0, 10.0, 12.0, 15.0, 18.0, 22.0, 27.0, 39.0, 1008.0]",0,3.8398054538294346,-0.12795849081981162,7.418855858969928,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.026198995212948543
FB15k237,0,TransE,degree,0.01,0.6116001017552786,0.5072755024166878,0.4113711523785296,0.18056474179598067,0.3277629017829895,150.61630249023438,0.6182736116241843,0.5324467430119444,0.4394163280384189,0.1795345400812708,173.40853881835938,0.33549100160598755,114.18766215584085,3795.6935815811157,66.73340214463737,0.08870983123779297,True,13871,157030,0.0008162033968677396,21,0.06360219069687582,17,0.9977651214764617,0.9998280583328026,3,0,0,19,22.641482229111094,253,"[1.0, 3.0, 5.0, 8.0, 12.0, 15.0, 19.0, 24.0, 33.0, 49.0, 253.0]",11.320741114555547,"[0.0, 1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 12.0, 16.0, 25.0, 240.0]",11.320741114555547,"[0.0, 1.0, 2.0, 4.0, 5.0, 7.0, 10.0, 12.0, 17.0, 25.0, 222.0]",0,5.0293814913505885,-0.1426050295373014,9.619493908153702,"[0.0, 1.0, 10.0, 11.0, 11.0, 11.0, 11.0, 12.0, 12.0, 12.0, 21.0]",0.0007949740922461144
FB15k237,0,TransE,degree,0.03,0.621938775510204,0.5254421768707483,0.42581632653061224,0.18387755102040818,0.33505934476852417,182.3614501953125,0.6211673439231622,0.534232237409186,0.4402167220785618,0.18267454746952347,193.7567138671875,0.33847060799598694,176.08382921661172,2844.8123772144318,133.7361272903114,0.08429479598999023,True,13482,116508,0.0006410314181653145,25,0.0834990188116743,49,0.9941403352618305,0.9993219349744223,3,0,0,17,17.28348909657321,133,"[1.0, 3.0, 5.0, 7.0, 10.0, 12.0, 16.0, 20.0, 26.0, 39.0, 133.0]",8.641744548286605,"[0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 7.0, 10.0, 13.0, 20.0, 105.0]",8.641744548286605,"[0.0, 0.0, 2.0, 3.0, 4.0, 6.0, 7.0, 10.0, 13.0, 20.0, 99.0]",0,5.65439409484747,-0.09547923669273892,12.666073282895713,"[0.0, 0.0, 13.0, 14.0, 15.0, 15.0, 15.0, 16.0, 16.0, 17.0, 25.0]",0.0005005394837579618
FB15k237,0,TransE,degree,0.05,0.6195077634621737,0.5286587380244466,0.4363643871820284,0.18958539808391148,0.3401530981063843,210.62303161621094,0.6193818495259205,0.5315232114271642,0.444588104913188,0.1874769117103805,204.8997344970703,0.34117695689201355,167.23947152479678,2428.156390428543,98.98165052474319,0.09665679931640625,True,13138,95747,0.0005547530745378692,27,0.09238284469339858,63,0.9926929517430355,0.9990078018110228,3,0,0,17,14.575582280407977,94,"[1.0, 2.0, 4.0, 6.0, 8.0, 11.0, 14.0, 17.0, 22.0, 32.0, 94.0]",7.287791140203988,"[0.0, 1.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 11.0, 17.0, 91.0]",7.287791140203988,"[0.0, 0.0, 1.0, 2.0, 4.0, 5.0, 6.0, 8.0, 11.600000000000364, 17.0, 81.0]",0,6.181939394793519,-0.0658505849175223,14.537068046886892,"[0.0, 0.0, 14.0, 17.0, 17.0, 17.0, 18.0, 18.0, 19.0, 19.0, 27.0]",0.0004270200964695168
FB15k237,0,TransE,degree,0.1,0.6094594594594595,0.5311398354876615,0.44388954171562867,0.19289071680376027,0.34308430552482605,262.4101867675781,0.6097155522718877,0.5312769363378894,0.44372614210072653,0.1935722201699298,349.8263244628906,0.3432542681694031,162.94317591392556,1843.321521282196,106.88842728040365,0.08815646171569824,True,12297,67921,0.00044920134076954305,29,0.08783914694915845,102,0.9878019029031471,0.997629599093064,3,0,0,15,11.046759372204603,66,"[1.0, 2.0, 4.0, 5.0, 7.0, 9.0, 11.0, 13.0, 17.0, 23.0, 66.0]",5.5233796861023015,"[0.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0, 13.0, 50.0]",5.5233796861023015,"[0.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 9.0, 13.0, 52.0]",0,7.30853791866058,0.015471648887457504,14.25681060421241,"[0.0, 0.0, 1.0, 17.0, 17.0, 18.0, 18.0, 19.0, 19.0, 20.0, 29.0]",0.0005225454948547629
FB15k237,0,TransE,harmonic_centrality,-0.05,0.5907835919011307,0.49096108335524585,0.405551538259269,0.2046246384433342,0.33604463934898376,126.54926300048828,0.5895540849774259,0.48580617230502815,0.391304347826087,0.17561382893190675,116.64693450927734,0.3160721957683563,162.54943667225822,5339.603084087372,0.0,0.09219861030578613,True,13779,243412,0.0012821478375051177,16,0.015640793510163287,1,1.0,1.0,3,0,0,21,35.33086581029102,6879,"[1.0, 5.0, 9.0, 12.0, 17.0, 22.0, 28.0, 34.0, 43.0, 62.0, 6879.0]",17.66543290514551,"[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 11.0, 14.0, 19.0, 29.0, 5690.0]",17.66543290514551,"[0.0, 2.0, 4.0, 7.0, 9.0, 13.0, 16.0, 19.0, 25.0, 35.0, 1189.0]",0,3.946701166103292,-0.1225080274902156,7.919152333260759,"[0.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 16.0]",0.02697891660745235
FB15k237,0,TransE,harmonic_centrality,-0.1,0.5897315120113048,0.4889980485835408,0.40384227171791937,0.20256039297490075,0.3344174921512604,128.21456909179688,0.589492238233657,0.48419815696703566,0.3913661945698559,0.17459335765971923,118.34847259521484,0.31587955355644226,166.0570316369732,5262.225926399231,96.35502972419042,0.09007525444030762,True,13054,237630,0.0013945924883139278,15,0.015546953981922362,1,1.0,1.0,3,0,0,21,36.4072314999234,6879,"[1.0, 6.0, 10.0, 13.0, 18.0, 23.0, 29.0, 35.0, 44.0, 63.70000000000073, 6879.0]",18.2036157499617,"[0.0, 1.0, 3.0, 4.0, 6.0, 8.0, 11.0, 15.0, 20.0, 29.0, 5690.0]",18.2036157499617,"[0.0, 2.0, 5.0, 7.0, 10.0, 13.0, 16.0, 20.0, 25.0, 36.0, 1189.0]",0,3.8683255680736934,-0.12294007903366133,7.238853991113835,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.027554126346595893
FB15k237,0,TransE,harmonic_centrality,-0.15,0.5880756922220676,0.49184291081118686,0.4065152358424934,0.20458814526227911,0.3360673785209656,129.02000427246094,0.5875749891768198,0.4879089615931721,0.3933143669985775,0.17536644195683096,119.62799072265625,0.3170376718044281,161.11631194576208,5094.132693767548,130.79588158814494,0.13080883026123047,True,12329,229903,0.0015126002230960816,15,0.015339748847427932,1,1.0,1.0,3,0,0,21,37.294671100656984,6879,"[1.0, 7.0, 10.0, 14.0, 18.0, 24.0, 29.0, 35.0, 45.0, 65.0, 6879.0]",18.647335550328492,"[0.0, 1.0, 3.0, 4.0, 6.0, 8.0, 11.0, 15.0, 20.0, 30.0, 5690.0]",18.647335550328492,"[0.0, 3.0, 5.0, 8.0, 11.0, 14.0, 16.0, 20.0, 25.0, 37.0, 1189.0]",0,3.8181798077739453,-0.12598321501378595,7.318111768999919,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.028409091706231508
