dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,training_gpu_power,training_duration,prediction_gpu_power,prediction_duration,directed,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,eccentricity_deciles,centralization
FB15k,1,RotatE,pagerank,-0.1,0.844842725065854,0.8000533718988344,0.7570115180001032,0.5960091593065097,0.6894816756248474,63.88570785522461,0.8898566627803306,0.8642068445236952,0.8379054934503807,0.6422399012413414,180.48976034132116,17455.18076658249,71.61372174590494,0.08308100700378418,True,14950,465003,0.002080666238454894,9,0.017719676021219228,1504,0.8987959866220736,0.9999397853347183,3,0,0,26,62.207759197324414,9475,"[0.0, 1.800000000000182, 16.0, 22.0, 30.0, 39.0, 51.0, 62.0, 76.0, 108.0, 9475.0]",31.103879598662207,"[0.0, 0.0, 6.0, 9.0, 13.0, 18.0, 23.0, 29.0, 36.0, 51.0, 7687.0]",31.103879598662207,"[0.0, 0.0, 9.0, 13.0, 16.0, 21.0, 27.0, 33.0, 40.0, 57.0, 3228.0]",0,2.973614949568933,-0.10688336162738644,5.82247491638796,"[0.0, 0.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 9.0]",0.018295668898295283
FB15k237,2,RotatE,harmonic_centrality,-0.05,0.5705634544497103,0.4830996577145866,0.4052297261716693,0.22304502369668247,0.34231990575790405,154.14610290527344,0.5655686761963953,0.47209446861404597,0.3841205717837166,0.18828464885021753,272.639295340992,10809.921808958054,109.80411348466815,0.08044934272766113,True,14505,243284,0.0011563998415822908,15,0.015623647887966368,727,0.9499482936918304,1.0,3,0,0,25,33.544846604619096,6970,"[0.0, 3.0, 7.0, 11.0, 15.0, 21.0, 26.0, 33.0, 42.0, 61.0, 6970.0]",16.772423302309548,"[0.0, 0.0, 2.0, 3.0, 5.0, 7.0, 10.0, 13.0, 19.0, 28.0, 5782.0]",16.772423302309548,"[0.0, 1.0, 3.0, 6.0, 8.0, 12.0, 15.0, 19.0, 24.0, 34.0, 1188.0]",0,3.9392649188342057,-0.1214605813173916,7.779937952430196,"[0.0, 1.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 15.0]",0.027493587978980334
WN18RR,1,ComplEx,harmonic_centrality,0.03,0.503732736095558,0.4594376010949359,0.429451287793953,0.35996018414831404,0.40969833731651306,3539.77978515625,0.5556844547563805,0.512877030162413,0.48155452436194895,0.4039443155452436,155.38331500157824,2157.3869688510895,98.65703717146977,0.08213257789611816,True,40559,63886,3.8836664876947646e-05,70,0.01111372010692869,2821,0.9168618555684311,0.9874307359984973,3,0,0,4,3.1502749081584853,514,"[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 6.0, 514.0]",1.5751374540792427,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 508.0]",1.5751374540792427,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 162.0]",0,20.58485257727096,-0.04804846816183927,33.236692226139695,"[0.0, 0.0, 2.0, 7.0, 44.0, 45.0, 47.0, 48.0, 49.0, 51.0, 70.0]",0.00800712113416194
FB15k237,0,TransE,degree,0.03,0.621938775510204,0.5254421768707483,0.42581632653061224,0.18387755102040818,0.33505934476852417,193.7567138671875,0.6211673439231622,0.534232237409186,0.4402167220785618,0.18267454746952347,176.08382921661172,2844.8123772144318,133.7361272903114,0.08429479598999023,True,14505,116508,0.0005537965207044834,25,0.0834990188116743,1072,0.9240261978628059,0.9993219349744223,3,0,0,17,16.064529472595655,133,"[0.0, 1.0, 3.0, 6.0, 8.0, 11.0, 14.0, 18.0, 25.0, 37.0, 133.0]",8.032264736297828,"[0.0, 0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 13.0, 20.0, 105.0]",8.032264736297828,"[0.0, 0.0, 1.0, 2.0, 4.0, 5.0, 7.0, 9.0, 13.0, 19.0, 99.0]",0,5.65439409484747,-0.09547923669273892,11.77276801103068,"[0.0, 0.0, 1.0, 14.0, 14.0, 15.0, 15.0, 16.0, 16.0, 17.0, 25.0]",0.0005877758787364737
WN18RR,1,TransE,degree,-0.1,0.5140193566752064,0.4129661258183888,0.3055081127241674,0.03963848562482209,0.20225702226161957,8357.841796875,0.3828638497652582,0.3254694835680751,0.25715962441314555,0.023826291079812205,197.2656988233967,6770.227940320969,104.05483767423706,0.0830678939819336,True,40559,64866,3.943241248329972e-05,60,0.010367792320039511,9314,0.7674252323775241,0.9962692319551074,3,0,0,4,3.19859957099534,385,"[0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 6.0, 385.0]",1.59929978549767,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 379.0]",1.59929978549767,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 289.0]",0,17.146787584882347,-0.05485263450850784,33.24931581153381,"[0.0, 0.0, 0.0, 40.0, 42.0, 44.0, 44.0, 45.0, 46.0, 48.0, 60.0]",0.005896153683648241
WN18RR,2,RotatE,pagerank,0.05,0.3633931983186855,0.3611004967520061,0.35861673672143674,0.3485861673672144,0.35472041368484497,8601.94921875,0.40979284369114877,0.4080979284369115,0.4058380414312618,0.3926553672316384,246.3635373341036,4718.729714393616,89.14331845111703,0.08856725692749023,True,40559,38867,2.3627471649067467e-05,109,0.04450488317468167,13345,0.4779457087206292,0.7538528829083798,3,0,0,4,1.9165659902857566,12,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 5.0, 12.0]",0.9582829951428783,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 8.0]",0.9582829951428783,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 8.0]",0,34.47859496768836,-0.0582044250212033,9.023989743336868,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 7.0, 46.0, 109.0]",0.00028514035282561554
WN18,2,ComplEx,degree,0.03,0.8004281636536632,0.8001308277830638,0.7999524262607041,0.7986441484300666,0.7994294166564943,4071.6748046875,0.7945869521308826,0.7945869521308826,0.7943849727327813,0.7890325186830943,145.4698582016622,2031.1282563209534,114.26392575637612,0.11117100715637207,True,40943,68661,4.096013779624851e-05,62,0.04574549243622425,8483,0.6769655374545099,0.8746013020491983,3,0,0,4,3.3539799233080134,18,"[0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 7.0, 18.0]",1.6769899616540067,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 11.0]",1.6769899616540067,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 12.0]",0,17.470356020732616,-0.08507114873253187,25.893828004787142,"[0.0, 0.0, 1.0, 2.0, 10.0, 39.0, 41.0, 42.0, 43.0, 45.0, 62.0]",0.000221207680568413
YAGO310,2,TransE,harmonic_centrality,0.05,0.6093856177799096,0.5379491945477075,0.47356297717552065,0.2948195227245473,0.40718439221382136,735.6041259765625,0.6218759151038284,0.5467323631641267,0.4802655870032976,0.29879811058910405,183.44548031401246,14470.010308027267,70.16318885408342,0.1364591121673584,True,123143,750104,4.9465858277768174e-05,32,0.00759214372148461,7491,0.938145083358372,0.9997666990177362,3,0,0,16,12.182649440081857,4435,"[0.0, 1.0, 2.0, 4.0, 5.0, 7.0, 9.0, 10.0, 13.0, 18.0, 4435.0]",6.091324720040928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 4435.0]",6.091324720040928,"[0.0, 0.0, 1.0, 2.0, 2.0, 4.0, 7.0, 9.0, 11.0, 15.0, 202.0]",0,7.664919024311042,-0.04832717964990624,10.571912329568063,"[0.0, 0.0, 1.0, 6.0, 14.0, 14.0, 15.0, 15.0, 15.0, 16.0, 32.0]",0.005863071121479159
WN18,2,TransE,betweenness,0.1,0.8348353014294593,0.8159571162212554,0.7830950901180858,0.4276724673710379,0.6080303192138672,2648.96142578125,0.8348353014294593,0.8159571162212554,0.7830950901180858,0.4276724673710379,91.49186672237134,1996.5385146141052,63.6373853128894,0.11627316474914551,True,40943,53720,3.2046993233632924e-05,81,0.04211842665050859,12973,0.4476467283784774,0.6723752792256142,3,0,0,4,2.6241359939427986,125,"[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 4.0, 6.0, 125.0]",1.3120679969713993,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 57.0]",1.3120679969713993,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 68.0]",0,28.411058525783545,-0.07170061563655492,19.50108687687761,"[0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 7.0, 49.0, 53.0, 57.0, 81.0]",0.0022949618832965517
YAGO310,0,RotatE,harmonic_centrality,0.05,0.5852844480418903,0.5206203595447233,0.46524967273236,0.3348672442565778,0.42047506570816046,3052.309814453125,0.6022869794466201,0.5300302029742251,0.4711983925874734,0.339156364380967,257.2958841698545,15302.24620962143,0.0,0.08458590507507324,True,123143,750116,4.9466649621767577e-05,32,0.007642011524621123,7483,0.9381613246388345,0.9997547046056876,3,0,0,17,12.182844335447406,4406,"[0.0, 1.0, 2.0, 4.0, 5.0, 7.0, 9.0, 10.0, 13.0, 18.0, 4406.0]",6.091422167723703,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 7.0, 4406.0]",6.091422167723703,"[0.0, 0.0, 1.0, 2.0, 2.0, 4.0, 7.0, 9.0, 11.0, 15.0, 207.0]",0,7.633085842757547,-0.048713091820107204,10.077535872928221,"[0.0, 0.0, 1.0, 5.0, 13.0, 14.0, 14.0, 14.0, 15.0, 15.0, 32.0]",0.0058243149020260135
WN18,1,RotatE,pagerank,-0.2,0.8537376215931995,0.849837875733941,0.846989746735606,0.8387082639558321,0.8443650007247924,2037.8631591796875,0.8446083418107834,0.8415564598168871,0.8392675483214649,0.83176500508647,269.1641223896294,7395.9239938259125,109.85776788660439,0.08305644989013672,True,40943,105625,6.301123716125238e-05,23,0.012698040418436965,8214,0.7986468993478739,0.9994224852071006,3,0,0,4,5.15961214371199,620,"[0.0, 0.0, 0.4000000000005457, 3.0, 4.0, 4.0, 4.0, 5.0, 6.0, 9.0, 620.0]",2.579806071855995,"[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 311.0]",2.579806071855995,"[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 309.0]",0,8.461296205460703,-0.08301583562444449,13.082040886109958,"[0.0, 0.0, 0.0, 15.0, 16.0, 16.0, 17.0, 17.0, 17.0, 18.0, 23.0]",0.0058069767754456965
YAGO310,0,TransE,betweenness,0.01,0.6020955441399444,0.5348333295616556,0.4735228224218697,0.2934780148905836,0.40518704056739807,1011.9090576171875,0.5926558135598002,0.5334057500775894,0.47448015122873344,0.2968710323618204,197.88642165137992,12307.810801506042,103.03099385634376,0.08895468711853027,True,123143,651397,4.2956592265290346e-05,37,0.006037860724529566,8506,0.9071323583151296,0.9945409634984502,3,0,0,16,10.579521369464768,923,"[0.0, 1.0, 2.0, 4.0, 5.0, 6.0, 8.0, 10.0, 12.0, 16.0, 923.0]",5.289760684732384,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 8.0, 923.0]",5.289760684732384,"[0.0, 0.0, 0.0, 1.0, 2.0, 3.0, 6.0, 8.0, 10.0, 13.0, 114.0]",0,10.539915530893724,0.06985571125444334,3.8013853812234557,"[0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 4.0, 5.0, 9.0, 37.0]",0.0013740044391267654
