model,dataset,phase,metric,root_mean_squared_error,mean_absolute_error,mean_squared_error,max_error,r2
TransE,WN18,testing,results_min_hits_at_10,0.3412023204004782,0.33626369392840033,0.11641902344667057,0.4109380374630106,-28.327654157019555
TransE,WN18,training,results_min_inverse_harmonic_mean_rank,0.008755491093267419,0.005297468049364204,8.471391148243045e-05,0.04496952537447216,0.9950596817012983
TransE,WN18,testing,results_min_inverse_harmonic_mean_rank,0.2978268837346334,0.29077807970119246,0.08870085267508285,0.3904036968946457,-46.778290991815496
TransE,YAGO310,training,results_min_hits_at_1,0.00739469694426193,0.004599454156226686,5.674796833146784e-05,0.03930042053022634,0.9979820955279953
TransE,YAGO310,testing,results_min_hits_at_1,0.10863770716782109,0.09350431123292988,0.011802151418681246,0.18157201668023681,-4.216245232614752
TransE,YAGO310,training,results_min_hits_at_10,0.013622249409792122,0.007917057893356168,0.00018826686617957238,0.06784492871965535,0.9932092423690316
TransE,YAGO310,testing,results_min_hits_at_10,0.16070169855700825,0.13248284601674548,0.025825035919107543,0.2953416878218211,-2.877275444833865
TransE,YAGO310,training,results_min_inverse_harmonic_mean_rank,0.008883327684593106,0.005513625032199713,7.998252289831789e-05,0.04080302044749263,0.9967291952210822
TransE,YAGO310,testing,results_min_inverse_harmonic_mean_rank,0.07121208886863502,0.06309477644135254,0.005071161601034371,0.13615764915943146,-0.6029228725782088
ComplEx,FB15k237,training,results_min_hits_at_1,0.018809736277323026,0.011397814297014799,0.00035802057365154843,0.09446422574253326,0.993699311231268
ComplEx,FB15k237,testing,results_min_hits_at_1,0.3680771350415537,0.36147671143224425,0.13548077734039815,0.47248105763420345,-310.02390362884097
ComplEx,FB15k237,training,results_min_hits_at_10,0.014734333084230633,0.008738221164519925,0.00022267604158179204,0.06838900251854174,0.9964220439788499
ComplEx,FB15k237,testing,results_min_hits_at_10,0.24431386641100913,0.24341267014985143,0.05968926532069641,0.28099561284184926,-257.1575701028143
ComplEx,FB15k237,training,results_min_inverse_harmonic_mean_rank,0.01599628505796475,0.01003758471184129,0.0002595466118926058,0.06748122461140155,0.9955148690890587
ComplEx,FB15k237,testing,results_min_inverse_harmonic_mean_rank,0.33813850390982286,0.33638050367434813,0.11433764782637329,0.4018460893630982,-313.1358362039659
ComplEx,FB15k,training,results_min_hits_at_1,0.018745416421099857,0.01102296110416889,0.0003547584073854141,0.09558261413537808,0.994297195919804
ComplEx,FB15k,testing,results_min_hits_at_1,0.3651027225965226,0.3562496121678909,0.13329999804739331,0.4578730396795071,-12.858076886902424
